,Player,Team,GP,W,L,MIN,PTS,TOUCHES,Front CT Touches,Time Of Poss,Avg Sec Per Touch,Avg Drib Per Touch,PTS Per Touch,Elbow Touches,Post Ups,Paint Touches,PTS Per Elbow Touch,PTS Per Post Touch,PTS Per Paint Touch
275,Julius Randle,NYK,71,41,30,35.9,25.2,70.3,43.7,3.5,3.02,1.92,0.359,2.2,3.6,3.2,0.709,0.574,1.049
276,Justin Champagnie,TOR,3,2,1,3.6,2.0,4.7,2.3,0.1,1.31,0.57,0.429,0.0,0.0,0.7,0.0,0.0,2.0
277,Justin Holiday,DAL,39,17,22,15.5,4.5,17.6,11.4,0.5,1.62,0.76,0.258,0.3,0.0,0.6,0.333,0.0,0.348
278,Justin Jackson,BOS,23,15,8,4.7,0.9,5.1,3.0,0.2,1.77,1.1,0.169,0.0,0.0,0.1,2.0,0.0,1.5
279,Justise Winslow,POR,29,15,14,26.8,6.8,52.4,22.8,3.1,3.57,2.83,0.129,0.8,0.3,3.2,0.5,0.25,0.742
280,Jusuf Nurkic,POR,50,23,27,26.7,13.0,53.5,31.3,1.5,1.66,0.6,0.243,3.3,4.6,5.4,0.564,0.594,0.904
281,KZ Okpala,SAC,35,19,16,7.1,1.3,7.0,4.9,0.2,1.72,0.79,0.189,0.0,0.0,0.5,0.0,0.0,0.75
282,Kai Jones,CHA,37,9,28,9.9,3.0,11.4,6.2,0.3,1.8,0.77,0.262,0.1,0.1,1.6,0.5,1.333,0.862
283,Karl-Anthony Towns,MIN,21,10,11,33.8,20.8,61.7,43.8,2.2,2.14,0.77,0.336,1.8,3.2,2.3,1.027,0.433,1.143
284,Kawhi Leonard,LAC,42,27,15,33.5,23.8,57.1,36.1,3.9,4.09,3.26,0.417,2.4,2.8,2.1,0.67,0.552,0.667
285,Keegan Murray,SAC,67,41,26,29.5,11.6,34.4,23.5,1.0,1.66,0.79,0.337,0.4,0.2,2.0,0.667,0.727,0.81
286,Keita Bates-Diop,SAS,54,14,40,21.4,8.8,24.9,16.0,0.9,2.13,1.2,0.352,0.8,0.6,2.4,0.511,0.469,1.055
287,Keldon Johnson,SAS,58,15,43,32.8,21.8,57.5,33.9,2.8,2.93,2.04,0.379,0.9,0.8,1.5,0.796,0.511,0.976
288,Kelly Olynyk,UTA,57,26,31,28.2,12.0,53.6,27.9,1.8,2.0,0.77,0.223,1.3,0.7,2.8,0.627,0.342,0.813
