,PLAYER,TEAM,GP,W,L,MIN,REB,Contested REB,Contested REB%,REB Chances,REB Chance%,Deferred REB Chances,Adjusted REB Chance%,AVG REB Distance
183,Ish Smith,DEN,23,11,12,13.9,2.2,0.6,25.5,4.0,56.0,0.4,63.0,7.0
184,Ish Wainright,PHX,46,24,22,17.0,2.9,1.1,39.4,5.1,55.9,0.4,61.1,6.8
185,Ivica Zubac,LAC,74,41,33,28.7,10.0,4.7,47.0,17.4,57.3,1.1,61.2,4.1
186,JD Davison,BOS,4,4,0,3.6,1.5,0.0,0.0,2.0,75.0,0.3,85.7,6.4
187,JT Thor,CHA,58,19,39,14.7,2.5,0.9,36.6,4.1,61.4,0.3,65.6,7.7
188,Ja Morant,MEM,61,40,21,31.9,5.9,1.3,22.4,10.9,53.7,0.8,57.9,7.8
189,JaMychal Green,GSW,52,28,24,14.5,3.9,1.7,42.6,6.4,61.6,0.4,66.0,4.8
190,JaVale McGee,DAL,37,16,21,8.9,2.9,1.4,46.7,5.3,54.9,0.4,59.8,4.3
191,Jabari Smith Jr.,HOU,78,20,58,31.0,7.2,2.5,34.9,12.0,60.3,0.9,65.1,5.4
192,Jabari Walker,POR,39,14,25,12.7,3.1,1.5,47.5,5.3,57.7,0.3,60.6,4.9
193,Jack White,DEN,7,3,4,4.3,1.3,0.7,55.6,2.1,60.0,0.1,64.3,5.0
194,Jaden Hardy,DAL,34,13,21,17.3,2.5,0.5,20.2,4.6,53.2,0.4,57.9,8.8
195,Jaden Ivey,DET,71,16,55,31.0,4.0,0.7,18.4,8.1,48.8,0.9,54.8,8.8
196,Jaden McDaniels,MIN,74,37,37,31.0,4.1,1.3,31.5,7.7,53.2,0.7,58.4,7.8
197,Jaden Springer,PHI,9,8,1,7.7,1.6,0.6,35.7,3.1,50.0,0.0,50.0,5.9
198,Jae Crowder,MIL,16,12,4,18.6,4.1,1.3,30.8,6.9,58.6,0.5,63.1,6.9
199,Jae'Sean Tate,HOU,31,7,24,21.9,3.8,1.3,33.1,7.2,53.2,0.5,57.3,7.0
200,Jake LaRavia,MEM,23,14,9,15.4,2.7,0.8,30.2,4.2,65.6,0.3,70.0,8.3
201,Jakob Poeltl,TOR,70,25,45,26.7,9.1,5.0,54.9,15.3,59.7,1.0,63.8,4.5
202,Jalen Brunson,NYK,66,39,27,35.0,3.7,0.6,17.4,6.7,54.4,0.5,58.6,9.8
203,Jalen Duren,DET,64,15,49,25.1,8.8,4.1,46.4,16.5,53.7,1.1,57.5,4.4
204,Jalen Green,HOU,72,18,54,34.5,3.9,0.8,21.3,7.4,53.1,0.5,56.6,7.6
205,Jalen Johnson,ATL,66,34,32,15.1,4.2,1.3,31.9,6.6,64.4,0.5,69.8,5.1
206,Jalen McDaniels,PHI,77,30,47,23.9,4.5,1.0,23.3,8.3,53.6,0.8,59.0,5.7
207,Jalen Smith,IND,67,31,36,19.0,5.9,2.6,44.2,10.5,56.0,0.7,60.0,4.7
208,Jalen Suggs,ORL,47,19,28,24.6,3.3,1.0,29.2,6.4,51.2,0.5,55.4,8.4
209,Jalen Williams,OKC,69,35,34,31.1,4.9,1.2,25.2,8.7,56.3,0.6,60.5,7.7
210,Jamal Cain,MIA,14,7,7,15.6,3.4,1.1,34.0,5.6,59.5,0.5,65.3,6.2
211,Jamal Murray,DEN,63,43,20,33.3,4.0,0.7,18.2,6.7,59.5,0.5,64.4,8.8
212,Jamaree Bouyea,WAS,3,0,3,15.7,2.0,0.3,16.7,3.7,54.5,0.3,60.0,9.9
213,James Bouknight,CHA,27,6,21,16.5,2.6,0.7,25.7,4.3,59.8,0.3,63.6,8.0
214,James Harden,PHI,58,39,19,36.8,6.1,1.1,18.4,9.9,61.8,0.6,65.9,6.7
215,James Johnson,IND,10,3,7,12.8,2.8,0.5,17.9,4.3,65.1,0.2,68.3,5.2
216,James Wiseman,DET,42,11,31,19.7,6.1,2.1,35.3,11.2,54.4,0.6,57.6,3.9
217,Jared Butler,OKC,1,1,0,3.6,1.0,0.0,0.0,2.0,50.0,0.0,50.0,9.1
218,Jared Rhoden,DET,10,1,9,15.4,3.1,1.2,38.7,4.9,63.3,0.3,67.4,6.4
219,Jaren Jackson Jr.,MEM,63,41,22,28.4,6.8,2.7,39.2,13.0,52.2,1.1,56.9,6.3
220,Jarred Vanderbilt,LAL,77,42,35,24.2,7.5,2.1,28.0,12.3,61.2,0.7,65.1,5.5
221,Jarrell Brantley,UTA,3,0,3,12.5,2.0,0.7,33.3,6.0,33.3,0.7,37.5,12.5
222,Jarrett Allen,CLE,66,44,22,33.4,10.0,4.7,47.4,16.9,59.1,1.4,64.3,4.9
223,Jarrett Culver,ATL,8,3,5,16.7,4.8,1.8,36.8,6.8,70.4,0.1,71.7,5.8
224,Jason Preston,LAC,9,1,8,11.8,2.4,0.4,18.2,3.9,62.9,0.1,64.7,7.8
225,Javonte Green,CHI,30,12,18,15.4,2.9,1.3,45.5,5.6,52.4,0.5,57.9,6.2
226,Jaxson Hayes,NOP,42,19,23,14.1,3.1,1.0,30.3,5.3,58.9,0.3,62.6,6.1
227,Jay Huff,WAS,5,1,4,17.8,4.2,1.8,42.9,8.0,52.5,0.4,55.3,6.2
228,Jay Scrubb,ORL,2,1,1,15.1,3.0,0.5,16.7,3.5,85.7,0.0,85.7,5.4
229,Jaylen Brown,BOS,67,46,21,35.9,6.9,1.4,20.5,11.6,59.1,1.0,64.8,7.1
230,Jaylen Nowell,MIN,59,32,27,19.8,2.9,0.6,20.0,4.9,58.6,0.3,62.5,9.3
231,Jaylin Williams,OKC,47,22,25,19.2,5.1,1.8,34.9,8.6,59.5,0.7,64.4,5.5
232,Jayson Tatum,BOS,74,52,22,36.9,8.8,1.6,18.0,12.7,69.1,0.8,73.5,6.2
233,Jeenathan Williams,POR,2,1,1,21.2,3.0,2.0,66.7,6.5,46.2,1.0,54.5,4.2
