,PLAYER,TEAM,GP,W,L,MIN,Touches,Elbow Touches,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
293,Kenyon Martin Jr.,HOU,62,13,49,26.7,35.7,1.6,0.5,0.7,63.0,0.2,0.3,68.8,1.2,75.3,0.5,34.0,0.1,18.2,0.1,7.2,0.1,8.2
294,Keon Ellis,SAC,9,4,5,4.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
295,Keon Johnson,POR,32,13,19,9.8,18.9,0.3,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,50.0,0.1,50.0,0.0,0.0,0.0,0.0
296,Kessler Edwards,SAC,16,6,10,5.9,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
297,Kevin Durant,PHX,40,27,13,35.7,67.1,2.7,1.0,1.6,60.3,0.4,0.4,93.8,2.4,88.7,0.7,25.5,0.1,14.8,0.2,6.6,0.2,7.5
298,Kevin Huerter,SAC,58,33,25,30.1,44.8,0.6,0.2,0.3,70.6,0.0,0.0,50.0,0.4,76.5,0.3,44.1,0.0,13.3,0.0,0.0,0.0,2.9
299,Kevin Knox II,POR,47,10,37,13.1,17.0,0.1,0.0,0.0,100.0,0.0,0.0,100.0,0.1,83.3,0.1,66.7,0.0,0.0,0.0,0.0,0.0,16.7
300,Kevin Love,MIA,45,25,20,20.3,37.8,0.5,0.0,0.2,14.3,0.1,0.1,100.0,0.1,27.3,0.3,59.1,0.0,0.0,0.0,0.0,0.0,4.5
301,Kevin Porter Jr.,HOU,41,10,31,33.8,79.1,0.8,0.1,0.3,46.2,0.0,0.0,0.0,0.3,37.5,0.4,46.9,0.1,20.0,0.0,3.1,0.0,0.0
302,Kevon Harris,ORL,27,10,17,12.4,10.9,0.2,0.1,0.1,66.7,0.0,0.0,0.0,0.1,80.0,0.1,40.0,0.0,0.0,0.0,0.0,0.0,0.0
303,Kevon Looney,GSW,62,32,30,23.5,42.1,2.3,0.4,0.7,64.3,0.1,0.2,66.7,1.0,44.8,1.5,64.1,0.3,21.5,0.0,1.4,0.1,3.4
304,Khem Birch,SAS,20,9,11,8.1,10.4,0.8,0.3,0.5,60.0,0.1,0.1,100.0,0.7,87.5,0.2,18.8,0.0,0.0,0.1,12.5,0.1,6.3
305,Khris Middleton,MIL,20,17,3,21.5,44.2,0.5,0.2,0.3,80.0,0.0,0.0,0.0,0.4,80.0,0.2,40.0,0.1,50.0,0.0,0.0,0.0,0.0
306,Killian Hayes,DET,58,14,44,27.0,59.4,0.3,0.1,0.2,50.0,0.0,0.0,0.0,0.2,66.7,0.1,27.8,0.0,40.0,0.0,5.6,0.0,0.0
307,Kira Lewis Jr.,NOP,16,7,9,10.7,23.8,0.1,0.1,0.1,100.0,0.0,0.0,0.0,0.1,100.0,0.1,50.0,0.0,0.0,0.0,0.0,0.0,0.0
308,Klay Thompson,GSW,50,27,23,32.9,48.3,1.1,0.4,0.7,48.6,0.1,0.1,83.3,0.8,74.5,0.2,18.2,0.1,40.0,0.1,7.3,0.1,5.5
309,Kris Dunn,UTA,3,2,1,22.0,57.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0
310,Kristaps Porzingis,WAS,52,23,29,32.7,59.8,3.8,0.9,1.7,51.1,0.9,1.1,84.2,2.7,72.4,1.2,30.6,0.2,16.7,0.1,3.6,0.5,13.8
311,Kyle Anderson,MIN,51,26,25,26.2,48.0,1.3,0.2,0.3,53.3,0.0,0.0,0.0,0.3,23.5,0.9,70.6,0.3,35.4,0.1,4.4,0.0,0.0
312,Kyle Kuzma,WAS,57,28,29,35.1,60.7,1.0,0.2,0.5,44.4,0.1,0.1,100.0,0.6,55.2,0.4,36.2,0.1,23.8,0.1,8.6,0.1,5.2
313,Kyle Lowry,MIA,44,22,22,33.3,74.3,0.3,0.0,0.0,50.0,0.0,0.0,0.0,0.0,13.3,0.3,73.3,0.1,36.4,0.0,6.7,0.0,0.0
314,Kyrie Irving,DAL,48,28,20,37.0,76.0,1.1,0.4,0.6,75.0,0.1,0.1,100.0,1.0,88.9,0.4,37.0,0.1,30.0,0.0,3.7,0.0,3.7
315,LaMelo Ball,CHA,36,13,23,35.2,90.2,0.4,0.0,0.1,25.0,0.0,0.0,0.0,0.1,20.0,0.3,66.7,0.1,30.0,0.0,6.7,0.0,0.0
316,Lamar Stevens,CLE,45,27,18,17.4,20.0,0.4,0.1,0.2,71.4,0.0,0.0,0.0,0.2,58.8,0.2,47.1,0.0,12.5,0.0,5.9,0.0,0.0
317,Landry Shamet,PHX,30,14,16,21.4,38.3,0.4,0.1,0.2,60.0,0.1,0.1,100.0,0.3,72.7,0.1,36.4,0.0,0.0,0.0,9.1,0.0,9.1
318,Larry Nance Jr.,NOP,50,24,26,22.3,31.5,3.0,0.6,1.0,66.7,0.1,0.2,62.5,1.4,46.7,1.9,61.8,0.3,13.8,0.1,2.0,0.1,2.6
319,Lauri Markkanen,UTA,57,29,28,34.4,51.0,1.8,0.7,1.0,69.1,0.6,0.7,92.5,2.1,115.8,0.3,17.8,0.0,11.1,0.1,4.0,0.4,19.8
320,LeBron James,LAL,47,24,23,36.1,79.6,3.0,1.1,1.5,71.4,0.1,0.2,75.0,2.4,78.2,1.1,38.0,0.2,16.7,0.1,4.2,0.1,2.1
321,Leandro Bolmaro,UTA,14,8,6,4.9,8.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,100.0,0.0,0.0,0.0,0.0,0.0,0.0
322,Lindy Waters III,OKC,26,11,15,11.4,13.7,0.0,0.0,0.0,0.0,0.1,0.1,100.0,0.1,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
323,Lonnie Walker IV,LAL,46,20,26,25.6,27.6,0.4,0.1,0.2,66.7,0.0,0.0,100.0,0.3,70.0,0.1,25.0,0.0,0.0,0.1,25.0,0.0,5.0
324,Luguentz Dort,OKC,55,25,30,30.1,37.1,0.4,0.1,0.2,27.3,0.0,0.1,50.0,0.2,37.5,0.1,33.3,0.0,0.0,0.0,8.3,0.0,8.3
325,Luka Doncic,DAL,54,30,24,36.5,91.3,0.7,0.2,0.4,60.0,0.0,0.0,0.0,0.5,67.6,0.2,35.1,0.1,23.1,0.0,5.4,0.0,0.0
