,PLAYER,TEAM,GP,W,L,MIN,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
235,Jeremy Sochan,SAS,52,14,38,26.4,6.5,1.2,2.9,40.7,0.6,0.8,78.6,3.1,47.3,2.6,39.3,0.6,8.9,0.5,7.4,0.4,6.2
236,Jericho Sims,NYK,49,29,20,15.8,0.1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,66.7,0.0,33.3,0.0,0.0,0.0,33.3,0.0,0.0
237,Jevon Carter,MIL,67,48,19,22.5,3.5,0.4,1.1,39.2,0.1,0.1,60.0,1.0,27.4,2.0,56.4,0.4,10.7,0.2,6.8,0.1,2.1
238,Jimmy Butler,MIA,54,28,26,33.4,13.9,2.8,5.4,51.5,2.2,2.6,86.4,8.2,58.7,6.3,45.3,1.4,10.0,0.5,3.9,1.3,9.3
239,Jock Landale,PHX,58,31,27,14.1,0.1,0.0,0.1,66.7,0.0,0.0,0.0,0.1,57.1,0.1,42.9,0.0,14.3,0.0,14.3,0.0,0.0
240,Joe Harris,BKN,61,34,27,22.0,2.3,0.2,0.5,39.4,0.1,0.1,50.0,0.5,22.1,1.5,63.6,0.3,15.0,0.2,8.6,0.1,2.9
241,Joe Ingles,MIL,34,24,10,22.9,2.9,0.5,0.9,60.0,0.1,0.1,100.0,1.1,39.4,1.7,57.6,0.3,11.1,0.3,9.1,0.0,1.0
242,Joe Wieskamp,TOR,3,1,2,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
243,Joel Embiid,PHI,54,36,18,35.0,6.0,1.8,3.3,55.1,2.0,2.3,87.3,5.9,98.5,0.8,12.6,0.3,4.6,0.6,9.2,1.2,19.9
244,John Butler Jr.,POR,9,2,7,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
245,John Collins,ATL,58,30,28,30.2,2.6,0.9,1.5,60.0,0.2,0.2,92.9,2.0,78.4,0.6,25.0,0.2,6.8,0.3,10.1,0.1,4.7
246,John Konchar,MEM,58,35,23,21.5,1.2,0.1,0.6,18.2,0.1,0.1,75.0,0.3,25.0,0.5,37.5,0.1,11.1,0.1,11.1,0.1,5.6
247,John Wall,LAC,34,15,19,22.2,8.6,1.2,2.8,43.2,1.2,1.6,77.8,3.8,44.0,4.0,46.7,0.9,10.7,0.6,7.2,0.8,9.3
248,Johnny Davis,WAS,14,6,8,4.9,1.0,0.1,0.5,28.6,0.1,0.1,100.0,0.5,50.0,0.3,28.6,0.0,0.0,0.0,0.0,0.1,7.1
249,Johnny Juzang,UTA,6,2,4,11.4,0.8,0.3,0.3,100.0,0.0,0.3,0.0,0.7,80.0,0.2,20.0,0.0,0.0,0.2,20.0,0.2,20.0
250,Jonas Valanciunas,NOP,65,31,34,24.5,0.6,0.1,0.3,38.1,0.1,0.1,75.0,0.3,61.1,0.1,13.9,0.0,2.8,0.1,11.1,0.1,11.1
251,Jonathan Isaac,ORL,11,8,3,11.3,0.5,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,40.0,0.0,0.0,0.1,20.0,0.0,0.0
252,Jonathan Kuminga,GSW,54,30,24,20.2,3.7,0.9,1.7,52.2,0.3,0.5,66.7,2.1,57.6,1.3,34.8,0.4,9.6,0.4,10.6,0.3,7.1
