,PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,eFG%
338,Luke Kennard,MEM,57,21.9,5.5,1.9,3.6,52.0,1.8,3.5,51.8,77.2
339,Luke Kornet,BOS,65,11.4,0.1,0.0,0.2,18.2,0.0,0.1,22.2,27.3
340,Malachi Flynn,TOR,50,12.9,2.0,0.7,1.8,37.8,0.7,1.8,37.8,56.7
341,Malaki Branham,SAS,62,23.3,3.0,1.0,3.1,32.1,1.0,3.0,32.4,47.7
342,Malcolm Brogdon,BOS,65,25.9,3.2,1.1,2.4,43.9,1.0,2.4,43.9,65.6
343,Malcolm Hill,CHI,5,1.8,0.6,0.2,0.6,33.3,0.2,0.6,33.3,50.0
344,Malik Beasley,LAL,77,26.1,6.7,2.3,6.3,36.0,2.1,6.0,35.6,53.1
345,Malik Monk,SAC,74,22.4,3.9,1.3,3.4,37.7,1.3,3.4,37.8,56.5
346,Mamadi Diakite,CLE,20,6.8,0.6,0.2,0.9,23.5,0.2,0.8,26.7,35.3
347,MarJon Beauchamp,MIL,48,12.8,1.9,0.6,2.0,31.3,0.6,1.9,32.3,46.9
348,Marcus Morris Sr.,LAC,65,28.1,4.4,1.5,4.1,36.3,1.4,4.0,36.6,53.9
349,Marcus Smart,BOS,60,32.1,4.7,1.6,4.5,34.7,1.5,4.5,34.5,51.7
350,Mark Williams,CHA,41,18.8,0.2,0.1,0.2,40.0,-,-,-,40.0
351,Markelle Fultz,ORL,57,30.1,1.1,0.4,1.2,30.4,0.3,1.1,29.2,44.2
352,Markieff Morris,DAL,33,9.7,2.2,0.8,1.8,41.0,0.7,1.7,40.0,59.0
353,Marko Simonovic,CHI,4,2.2,0.0,0.0,0.5,0.0,0.0,0.3,0.0,0.0
354,Marvin Bagley III,DET,40,23.7,1.6,0.6,1.8,35.2,0.4,1.3,27.5,45.1
355,Mason Plumlee,LAC,76,26.3,0.1,0.0,0.1,42.9,-,-,-,42.9
356,Matisse Thybulle,POR,71,16.9,2.1,0.7,1.9,36.2,0.7,1.9,35.8,54.0
357,Matt Ryan,MIN,33,9.3,2.7,0.9,2.4,38.0,0.9,2.3,38.7,56.3
358,Matthew Dellavedova,SAC,32,6.6,0.7,0.2,0.7,31.8,0.2,0.7,31.8,47.7
359,Max Christie,LAL,39,13.1,1.8,0.6,1.5,40.0,0.6,1.5,40.7,60.0
360,Max Strus,MIA,76,28.7,6.6,2.2,6.0,36.4,2.2,6.0,36.2,54.4
361,Maxi Kleber,DAL,36,25.4,3.4,1.1,3.1,36.9,1.1,3.0,36.4,54.5
362,McKinley Wright IV,DAL,25,11.3,0.6,0.2,0.6,35.7,0.2,0.6,35.7,53.6
363,Meyers Leonard,MIL,6,8.5,2.5,0.8,1.8,45.5,0.8,1.7,50.0,68.2
364,Mfiondu Kabengele,BOS,2,7.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0
365,Micah Potter,UTA,5,5.4,1.2,0.4,0.6,66.7,0.4,0.6,66.7,100
366,Michael Carter-Williams,ORL,1,1.8,0.0,0.0,0.0,-,-,-,-,-
367,Michael Foster Jr.,PHI,1,1.0,0.0,0.0,0.0,-,-,-,-,-
368,Michael Porter Jr.,DEN,60,29.1,7.9,2.8,5.9,46.6,2.4,5.3,44.5,66.5
369,Mikal Bridges,BKN,79,36.1,5.6,1.9,4.9,39.7,1.7,4.3,40.3,57.3
370,Mike Conley,MIN,64,30.3,3.0,1.0,2.3,43.9,1.0,2.2,43.4,64.9
371,Mike Muscala,BOS,59,14.3,3.9,1.4,3.5,39.3,1.1,3.0,36.9,55.3
372,Miles McBride,NYK,61,11.8,1.7,0.6,1.7,33.3,0.5,1.7,32.7,49.0
373,Mitchell Robinson,NYK,57,26.9,0.0,0.0,0.0,-,-,-,-,-
374,Mo Bamba,LAL,47,16.2,3.2,1.1,2.6,41.9,1.0,2.4,40.9,60.9
375,Monte Morris,WAS,62,27.4,2.6,0.9,2.2,39.1,0.8,2.1,38.6,57.6
376,Montrezl Harrell,PHI,54,11.8,0.0,0.0,0.1,12.5,0.0,0.1,0.0,12.5
377,Moritz Wagner,ORL,55,19.6,2.6,0.9,2.7,31.8,0.8,2.7,30.9,47.0
378,Moses Brown,BKN,36,8.2,0.0,0.0,0.0,-,-,-,-,-
379,Moses Moody,GSW,60,12.5,1.9,0.6,1.8,33.9,0.6,1.8,34.6,50.9
380,Moussa Diabate,LAC,21,9.2,0.1,0.0,0.1,50.0,0.0,0.1,50.0,75.0
381,Myles Turner,IND,62,29.4,4.7,1.7,4.3,39.4,1.3,3.6,37.1,55.1
382,Naji Marshall,NOP,73,23.9,2.6,0.9,2.6,32.6,0.8,2.6,32.3,48.7
383,Nassir Little,POR,54,18.1,2.4,0.8,2.2,35.8,0.8,2.2,35.8,53.8
384,Nathan Knight,MIN,36,7.9,0.6,0.2,0.5,38.9,0.2,0.5,38.9,58.3
385,Naz Reid,MIN,68,18.4,3.2,1.1,2.9,36.0,1.1,2.9,36.4,54.0
386,Neemias Queta,SAC,4,6.1,0.0,0.0,0.0,-,-,-,-,-
387,Nerlens Noel,BKN,17,11.5,0.6,0.3,0.8,35.7,0.1,0.1,50.0,39.3
388,Nic Claxton,BKN,73,29.7,0.1,0.1,0.1,44.4,0.0,0.0,0.0,44.4
389,Nick Richards,CHA,62,18.6,0.2,0.1,0.2,50.0,0.0,0.0,100,55.0
390,Nickeil Alexander-Walker,MIN,56,14.9,2.0,0.7,1.8,36.6,0.6,1.8,36.4,54.5
391,Nicolas Batum,LAC,75,21.8,4.6,1.5,4.0,38.6,1.5,3.9,38.8,57.6
392,Nikola Jokic,DEN,67,33.9,3.2,1.3,2.6,49.4,0.6,1.5,38.2,60.5
393,Nikola Jovic,MIA,15,13.6,2.0,0.7,2.7,26.8,0.5,2.3,22.9,36.6
394,Nikola Vucevic,CHI,78,33.8,6.6,2.5,6.2,40.3,1.5,4.2,36.0,52.6
395,Noah Vonleh,BOS,23,7.5,0.1,0.0,0.1,33.3,0.0,0.1,33.3,50.0
396,Norman Powell,LAC,57,25.8,4.5,1.5,3.5,42.8,1.5,3.3,43.7,63.4
397,O.G. Anunoby,TOR,64,35.7,6.0,2.0,4.7,42.6,1.9,4.7,41.6,63.0
398,Obi Toppin,NYK,64,14.8,3.3,1.1,3.2,34.6,1.1,3.2,34.2,51.5
399,Ochai Agbaji,UTA,55,19.6,3.7,1.2,3.2,38.4,1.2,3.2,38.6,57.6
400,Olivier Sarr,OKC,6,11.2,0.5,0.2,1.0,16.7,0.2,1.0,16.7,25.0
401,Omer Yurtseven,MIA,6,6.2,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0
402,Onyeka Okongwu,ATL,76,23.1,0.7,0.3,0.8,43.1,0.0,0.1,28.6,44.8
403,Orlando Robinson,MIA,29,13.7,0.0,0.0,0.3,0.0,0.0,0.2,0.0,0.0
404,Oshae Brissett,IND,62,16.5,2.1,0.7,2.2,31.7,0.7,2.2,31.7,47.5
405,Otto Porter Jr.,TOR,8,18.3,2.3,0.8,2.0,37.5,0.8,2.0,37.5,56.3
406,Ousmane Dieng,OKC,36,14.3,1.9,0.6,2.2,28.8,0.6,2.2,29.1,43.1
407,P.J. Tucker,PHI,73,25.6,2.2,0.8,1.9,39.7,0.7,1.8,38.3,57.8
408,P.J. Washington,CHA,73,32.6,5.1,1.7,5.1,34.0,1.7,4.9,33.9,50.3
409,PJ Dozier,SAC,13,2.4,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0
410,Paolo Banchero,ORL,71,33.7,2.3,0.8,2.3,34.4,0.7,2.1,33.8,50.3
411,Pascal Siakam,TOR,68,37.5,3.3,1.1,3.4,33.2,1.0,3.0,34.6,48.7
412,Pat Connaughton,MIL,60,24.0,5.1,1.7,5.1,33.6,1.7,5.1,33.3,50.2
413,Patrick Baldwin Jr.,GSW,28,7.6,3.1,1.0,2.8,37.2,1.0,2.7,37.3,55.1
414,Patrick Beverley,CHI,64,27.1,3.0,1.0,2.9,33.7,1.0,2.9,33.9,50.5
415,Patrick Williams,CHI,78,28.3,3.9,1.3,3.2,42.3,1.3,3.1,42.0,62.6
416,Patty Mills,BKN,39,13.6,2.7,0.9,2.5,36.1,0.9,2.4,35.8,53.6
