,PLAYER,TEAM,GP,W,L,MIN,Dist. Feet,Dist. Miles,Dist. Miles Off,Dist. Miles Def,Avg Speed,Avg Speed Off,Avg Speed Def
405,Patrick Beverley,CHI,53,26,27,27.2,10608.6,2.01,1.05,0.96,4.19,4.4,3.99
406,Patrick Williams,CHI,66,30,36,28.6,11421.3,2.16,1.12,1.04,4.27,4.58,3.98
407,Patty Mills,BKN,38,18,20,13.6,5499.2,1.04,0.56,0.48,4.34,4.67,4.0
408,Paul George,LAC,52,30,22,34.5,12900.4,2.44,1.35,1.09,3.97,4.34,3.6
409,Paul Reed,PHI,54,35,19,10.1,4246.6,0.8,0.43,0.38,4.41,4.66,4.15
410,Payton Pritchard,BOS,45,30,15,12.5,5122.1,0.97,0.52,0.45,4.33,4.58,4.05
411,Peyton Watson,DEN,14,9,5,3.2,1291.6,0.24,0.14,0.11,4.19,4.65,3.93
412,Precious Achiuwa,TOR,44,23,21,22.0,8658.5,1.64,0.87,0.77,4.16,4.34,3.97
413,Quentin Grimes,NYK,59,34,25,29.4,11190.6,2.12,1.14,0.98,4.03,4.15,3.9
414,Quenton Jackson,WAS,3,2,1,2.6,1135.3,0.22,0.13,0.09,4.2,4.9,4.88
415,R.J. Hampton,DET,35,8,27,14.6,6027.8,1.14,0.62,0.52,4.36,4.66,4.05
416,RJ Barrett,NYK,63,35,28,34.2,13602.1,2.58,1.41,1.17,4.22,4.5,3.92
417,Raul Neto,CLE,42,28,14,10.2,3927.9,0.74,0.4,0.35,4.08,4.2,3.94
418,Reggie Bullock,DAL,66,33,33,30.4,11425.2,2.16,1.14,1.02,3.99,4.04,3.94
419,Reggie Jackson,DEN,61,33,28,24.9,9410.7,1.78,0.98,0.8,4.02,4.34,3.69
420,Richaun Holmes,SAC,35,18,17,8.7,3382.1,0.64,0.32,0.32,4.08,4.26,3.92
421,Ricky Rubio,CLE,22,15,7,16.8,6732.2,1.28,0.7,0.57,4.25,4.6,3.89
422,Robert Covington,LAC,38,15,23,16.4,6156.2,1.17,0.63,0.54,3.92,4.23,3.62
423,Robert Williams III,BOS,28,18,10,24.2,9176.5,1.74,0.93,0.81,4.03,4.27,3.77
424,Robin Lopez,CLE,34,24,10,7.5,2839.8,0.54,0.3,0.24,4.01,4.2,3.79
425,Rodney McGruder,DET,28,4,24,13.8,5882.8,1.11,0.59,0.52,4.51,4.84,4.2
426,Romeo Langford,SAS,33,10,23,20.2,8488.5,1.61,0.84,0.77,4.46,4.72,4.21
427,Ron Harper Jr.,TOR,4,2,2,3.5,1382.0,0.26,0.14,0.12,3.88,5.04,3.6
