,Player,Team,GP,MIN,W,L,STL,BLK,DREB,DFGM,DFGA,DFG%
166,Goga Bitadze,ORL,35,11.2,13,22,0.4,0.7,1.6,1.0,1.9,52.2
167,Goran Dragic,MIL,55,14.7,26,29,0.2,0.1,1.0,0.7,0.9,75.5
168,Gordon Hayward,CHA,50,31.5,20,30,0.8,0.2,3.6,1.2,1.8,67.4
169,Gorgui Dieng,SAS,29,10.9,2,27,0.1,0.4,2.2,1.3,2.0,64.9
170,Grant Williams,BOS,77,26.2,53,24,0.5,0.4,3.5,1.7,2.5,67.7
171,Grayson Allen,MIL,72,27.4,53,19,0.9,0.2,2.4,1.2,1.6,76.1
172,Greg Brown III,POR,16,5.8,10,6,0.3,0.3,1.1,0.1,0.4,33.3
173,Hamidou Diallo,DET,55,17.7,12,43,0.9,0.3,2.4,0.9,1.4,61.0
174,Harrison Barnes,SAC,80,32.7,48,32,0.7,0.1,3.5,2.0,2.9,67.5
175,Haywood Highsmith,MIA,51,17.5,26,25,0.7,0.3,2.4,0.8,1.2,66.7
176,Herbert Jones,NOP,64,29.3,30,34,1.5,0.6,2.6,2.1,2.9,72.8
177,Immanuel Quickley,NYK,79,28.8,47,32,1.0,0.2,3.4,1.7,2.5,69.2
178,Isaac Okoro,CLE,76,21.7,48,28,0.7,0.4,1.8,1.1,1.8,60.7
179,Isaiah Hartenstein,NYK,80,19.9,47,33,0.7,0.8,4.0,2.2,3.9,54.8
180,Isaiah Jackson,IND,61,16.2,23,38,0.5,1.4,2.6,2.4,4.1,57.1
181,Isaiah Joe,OKC,72,19.1,35,37,0.6,0.1,2.0,1.2,1.6,78.6
182,Isaiah Livers,DET,51,23.1,10,41,0.5,0.5,2.2,2.0,3.3,59.8
183,Isaiah Mobley,CLE,10,3.3,7,3,0.1,0.1,1.1,0.2,0.2,100.0
184,Isaiah Roby,SAS,41,11.3,9,32,0.4,0.2,2.0,1.3,1.8,71.6
185,Isaiah Stewart,DET,49,28.3,12,37,0.4,0.7,5.8,3.2,5.2,61.2
186,Isaiah Todd,WAS,5,3.2,2,3,0.0,0.0,0.0,0.0,0.2,0.0
187,Ish Smith,DEN,40,8.6,24,16,0.2,0.2,1.1,0.6,0.7,81.5
188,Ish Wainright,PHX,57,15.0,32,25,0.7,0.4,1.5,0.8,1.1,72.6
189,Ivica Zubac,LAC,74,28.7,41,33,0.4,1.3,6.8,2.8,5.3,53.2
190,JD Davison,BOS,10,2.7,9,1,0.2,0.0,0.5,0.0,0.0,0.0
191,JT Thor,CHA,67,13.6,21,46,0.3,0.3,1.6,1.6,2.4,65.4
192,Ja Morant,MEM,60,32.1,39,21,1.1,0.3,4.8,1.5,2.3,65.7
193,JaMychal Green,GSW,56,14.0,29,27,0.4,0.4,2.4,1.3,1.9,66.1
194,JaVale McGee,DAL,41,8.5,20,21,0.1,0.6,1.8,1.4,2.4,57.0
195,Jabari Smith Jr.,HOU,77,31.0,19,58,0.5,0.9,5.7,3.3,5.1,63.9
196,Jabari Walker,POR,53,10.4,21,32,0.2,0.2,1.4,1.1,1.8,60.0
197,Jack White,DEN,16,3.2,12,4,0.1,0.1,0.4,0.4,0.6,66.7
198,Jaden Hardy,DAL,46,14.4,20,26,0.4,0.2,1.5,1.1,1.4,81.0
199,Jaden Ivey,DET,71,30.9,15,56,0.8,0.2,2.9,2.2,2.8,79.5
200,Jaden McDaniels,MIN,77,30.9,39,38,0.9,1.0,2.7,2.0,3.8,52.7
201,Jaden Springer,PHI,14,3.8,11,3,0.4,0.1,0.5,0.1,0.4,33.3
202,Jae Crowder,MIL,16,18.2,13,3,0.5,0.4,3.0,1.5,2.4,63.2
203,Jae'Sean Tate,HOU,31,21.9,7,24,0.7,0.2,2.5,1.2,2.0,62.3
204,Jake LaRavia,MEM,35,11.8,22,13,0.3,0.1,1.3,1.3,1.7,72.1
205,Jakob Poeltl,TOR,69,26.8,25,44,0.9,1.2,5.8,4.7,7.6,62.1
206,Jalen Brunson,NYK,68,35.0,40,28,0.9,0.2,3.0,1.6,2.1,74.5
207,Jalen Duren,DET,64,24.9,15,49,0.7,0.8,5.2,3.1,5.1,61.2
208,Jalen Green,HOU,74,34.3,18,56,0.8,0.2,3.2,1.9,2.4,76.5
209,Jalen Johnson,ATL,68,14.8,35,33,0.5,0.4,3.3,1.3,2.0,62.6
210,Jalen McDaniels,PHI,77,23.7,29,48,1.0,0.4,3.5,1.6,2.6,63.1
211,Jalen Smith,IND,68,18.8,31,37,0.3,0.9,3.9,2.3,4.0,57.4
212,Jalen Suggs,ORL,50,23.8,20,30,1.3,0.5,1.9,1.3,1.9,70.5
213,Jalen Williams,OKC,74,30.4,35,39,1.4,0.5,3.4,1.5,2.4,62.0
214,Jamal Cain,MIA,15,12.4,8,7,0.5,0.0,1.8,0.4,0.5,85.7
