,PLAYER,TEAM,GP,W,L,MIN,Passes Made,Passes Received,AST,Secondary AST,Potential AST,AST PTS Created,AST PTS Created.1,AST Adj,AST To Pass%,AST To Pass% Adj
107,De'Anthony Melton,PHI,68,46,22,28.0,37.2,31.6,2.6,0.4,5.0,7.4,3.5,7.1,9.3,
108,DeAndre Jordan,DEN,35,22,13,14.3,14.0,10.7,0.9,0.0,1.3,2.3,1.0,6.3,6.9,
109,DeMar DeRozan,CHI,64,32,32,36.7,36.0,51.8,5.1,1.2,9.7,13.3,6.6,14.1,18.4,
110,Dean Wade,CLE,39,27,12,19.9,17.2,12.2,0.8,0.2,1.7,2.3,1.0,4.8,5.8,
111,Deandre Ayton,PHX,61,30,31,30.4,35.3,27.3,1.8,0.1,2.6,4.5,2.0,5.2,5.8,
112,Dejounte Murray,ATL,66,33,33,36.4,48.9,58.0,6.0,0.5,10.4,14.9,7.0,12.3,14.2,
113,Delon Wright,WAS,43,23,20,23.8,37.3,35.3,3.8,0.4,6.9,10.0,4.5,10.2,12.1,
114,Deni Avdija,WAS,70,31,39,26.0,31.5,24.5,2.5,0.4,4.6,6.7,3.2,8.1,10.3,
115,Dennis Schroder,LAL,59,31,28,30.0,40.0,45.1,4.5,0.6,8.5,11.7,5.5,11.3,13.7,
116,Dennis Smith Jr.,CHA,51,17,34,25.7,40.5,42.9,4.7,0.4,9.6,12.6,5.9,11.7,14.5,
117,Deonte Burton,SAC,2,1,1,3.3,1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
118,Dereon Seabron,NOP,5,2,3,2.3,1.6,2.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,
119,Derrick Jones Jr.,CHI,53,23,30,13.6,13.4,10.0,0.6,0.1,0.9,1.7,0.7,4.4,5.4,
120,Derrick Rose,NYK,27,12,15,12.5,19.1,22.6,1.7,0.1,3.0,4.2,2.0,8.9,10.3,
121,Derrick White,BOS,73,50,23,28.2,35.0,36.1,4.0,0.5,6.4,10.2,4.6,11.4,13.2,
122,Desmond Bane,MEM,49,31,18,31.3,41.3,47.6,4.2,0.8,7.6,11.0,5.5,10.2,13.3,
123,Devin Booker,PHX,44,27,17,34.5,35.1,55.4,5.5,1.0,11.0,14.4,6.9,15.6,19.6,
124,Devin Vassell,SAS,36,12,24,31.2,33.4,39.4,3.6,0.5,6.6,9.5,4.4,10.7,13.1,
125,Devon Dotson,WAS,6,1,5,8.9,14.0,12.0,1.3,0.0,3.0,3.3,1.3,9.5,9.5,
126,Devonte' Graham,SAS,67,30,37,17.9,25.9,27.0,2.6,0.2,4.8,6.3,3.0,10.2,11.7,
127,Dewayne Dedmon,PHI,33,20,13,11.0,13.4,10.1,0.5,0.1,0.9,1.3,0.6,4.1,4.8,
128,Dillon Brooks,MEM,65,41,24,30.5,24.4,30.9,2.6,0.2,4.4,6.4,3.0,10.5,12.4,
129,Domantas Sabonis,SAC,70,42,28,34.8,65.2,51.0,7.3,0.3,12.6,19.5,8.1,11.1,12.4,
130,Dominick Barlow,SAS,18,2,16,12.1,9.9,7.7,0.6,0.0,1.2,1.6,0.7,6.1,6.7,
131,Donovan Mitchell,CLE,62,40,22,35.5,40.5,57.3,4.6,0.8,8.9,11.6,5.8,11.3,14.4,
132,Donte DiVincenzo,GSW,62,34,28,26.6,38.5,33.5,3.4,0.6,6.3,8.9,4.4,8.8,11.5,
133,Dorian Finney-Smith,BKN,58,26,32,31.0,28.8,23.7,1.5,0.4,3.1,4.1,2.1,5.3,7.1,
134,Doug McDermott,SAS,59,18,41,20.7,18.2,19.7,1.5,0.3,2.8,3.6,1.9,8.1,10.3,
135,Draymond Green,GSW,63,33,30,31.5,61.7,47.9,6.8,0.7,13.6,18.4,8.3,11.0,13.5,
