,PLAYER,TEAM,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,eFG%
232,Jaylin Williams,OKC,40,20,20,17.7,0.1,0.1,0.1,66.7,0.0,0.0,100,83.3
233,Jayson Tatum,BOS,68,48,20,37.4,5.6,2.1,7.0,30.3,1.4,4.9,28.9,40.3
234,Jeff Dowtin Jr.,TOR,19,12,7,8.7,0.7,0.3,0.8,37.5,0.1,0.1,50.0,40.6
235,Jeff Green,DEN,49,30,19,19.2,0.5,0.2,0.8,28.9,0.1,0.2,30.0,32.9
236,Jerami Grant,POR,63,28,35,35.6,2.4,1.1,2.8,40.3,0.2,0.4,44.4,43.8
237,Jeremiah Robinson-Earl,OKC,36,12,24,19.4,0.1,0.1,0.1,66.7,0.0,0.1,50.0,83.3
238,Jeremy Sochan,SAS,56,15,41,26.0,1.2,0.5,1.4,39.5,0.1,0.3,33.3,42.8
239,Jericho Sims,NYK,49,29,20,15.8,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
240,Jevon Carter,MIL,72,52,20,22.3,3.3,1.4,3.3,41.9,0.6,1.6,39.5,51.5
241,Jimmy Butler,MIA,59,32,27,33.4,3.0,1.4,3.5,40.7,0.2,0.5,29.0,42.9
242,Jock Landale,PHX,63,32,31,14.0,0.0,0.0,0.2,10.0,0.0,0.0,0.0,10.0
243,Joe Harris,BKN,65,34,31,21.5,0.9,0.3,0.9,39.3,0.2,0.6,42.1,53.6
244,Joe Ingles,MIL,38,27,11,23.1,2.3,0.8,1.6,51.7,0.7,1.4,50.0,74.2
245,Joe Wieskamp,TOR,5,3,2,5.9,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0
246,Joel Embiid,PHI,59,40,19,34.7,6.4,3.1,7.0,43.8,0.3,1.2,23.5,45.8
247,John Butler Jr.,POR,10,3,7,3.2,0.0,0.0,0.0,-,0.0,0.0,-,-
248,John Collins,ATL,63,32,31,30.1,0.7,0.3,0.8,42.3,0.0,0.0,0.0,42.3
249,John Konchar,MEM,64,40,24,21.0,0.3,0.1,0.4,33.3,0.1,0.3,33.3,45.8
250,John Wall,LAC,34,15,19,22.2,1.7,0.8,3.1,26.7,0.0,0.6,5.0,27.1
251,Johnny Davis,WAS,19,7,12,7.7,0.5,0.3,1.0,26.3,0.0,0.1,0.0,26.3
252,Johnny Juzang,UTA,10,4,6,10.6,1.5,0.6,0.9,66.7,0.3,0.3,100,83.3
253,Jonas Valanciunas,NOP,69,33,36,24.7,0.2,0.1,0.4,24.0,0.0,0.0,0.0,24.0
254,Jonathan Isaac,ORL,11,8,3,11.3,0.2,0.1,0.5,16.7,0.0,0.0,-,16.7
255,Jonathan Kuminga,GSW,59,32,27,20.7,0.8,0.4,0.8,42.9,0.1,0.2,42.9,49.0
256,Jordan Clarkson,UTA,61,30,31,32.6,5.9,2.4,6.0,39.7,1.2,3.5,34.3,49.7
257,Jordan Goodwin,WAS,53,19,34,16.8,1.6,0.7,1.7,42.2,0.2,0.5,29.6,46.7
258,Jordan Hall,SAS,9,1,8,9.2,1.1,0.4,1.0,44.4,0.2,0.3,66.7,55.6
259,Jordan McLaughlin,MIN,36,18,18,15.9,0.8,0.3,0.8,36.7,0.2,0.6,27.3,46.7
260,Jordan Nwora,IND,53,34,19,17.6,0.8,0.4,1.3,27.1,0.1,0.5,26.9,32.1
261,Jordan Poole,GSW,74,38,36,30.4,5.0,2.0,5.9,33.6,1.0,3.5,29.8,42.5
262,Jordan Schakel,WAS,2,0,2,3.1,1.5,0.5,0.5,100,0.5,0.5,100,150.0
263,Jose Alvarado,NOP,61,30,31,21.5,1.0,0.4,1.2,32.9,0.2,0.5,32.3,39.7
264,Josh Christopher,HOU,55,12,43,11.5,1.4,0.6,1.6,38.2,0.2,0.6,31.3,43.8
265,Josh Giddey,OKC,67,31,36,30.8,2.0,1.0,2.4,39.3,0.1,0.3,20.0,40.5
266,Josh Green,DAL,53,25,28,25.9,0.5,0.2,0.5,41.4,0.0,0.2,25.0,44.8
267,Josh Hart,NYK,68,37,31,32.7,0.5,0.3,0.9,29.5,0.0,0.2,7.1,30.3
268,Josh Minott,MIN,14,6,8,6.5,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0
269,Josh Okogie,PHX,62,31,31,17.6,0.6,0.2,0.8,28.8,0.1,0.4,29.6,36.5
270,Josh Richardson,NOP,55,17,38,24.0,3.0,1.4,3.3,43.0,0.2,0.6,33.3,46.1
271,Joshua Primo,SAS,4,3,1,23.3,2.3,1.0,2.3,44.4,0.3,0.8,33.3,50.0
272,Jrue Holiday,MIL,60,45,15,32.8,7.3,2.9,7.4,39.7,1.5,4.3,35.2,49.9
