,PLAYER,TEAM,GP,W,L,MIN,PTS,Drive PTS,Drive FG%,C&S PTS,C&S FG%,Pull Up PTS,Pull Up FG%,Paint Touch PTS,Paint Touch FG%,Post Touch PTS,Post Touch FG%,Elbow Touch PTS,Elbow Touch FG%,eFG%
448,Shai Gilgeous-Alexander,OKC,58,29,29,35.6,31.3,17.0,51.2,0.9,35.3,9.2,46.6,1.5,73.2,1.3,56.1,0.8,75.0,53.1
449,Shake Milton,PHI,63,45,18,20.2,8.5,3.0,44.8,2.0,42.7,1.2,34.3,0.8,74.1,0.0,0.0,0.2,75.0,55.0
450,Simone Fontecchio,UTA,40,21,19,12.1,5.1,0.9,61.5,2.5,34.0,0.9,33.3,0.3,26.7,0.1,0.0,0.1,66.7,47.0
451,Spencer Dinwiddie,BKN,67,35,32,34.4,17.8,7.3,49.7,3.6,41.5,5.4,37.6,0.1,50.0,0.4,71.4,0.1,66.7,53.6
452,Stanley Johnson,SAS,29,5,24,15.8,5.9,1.6,51.6,1.8,47.4,0.8,45.5,0.4,41.7,0.1,100.0,0.2,50.0,60.3
453,Stanley Umude,DET,1,0,1,2.1,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
454,Stephen Curry,GSW,42,21,21,35.0,30.0,6.4,57.1,6.4,39.4,11.4,46.3,1.4,73.5,0.0,0.0,0.8,85.7,62.3
455,Sterling Brown,LAL,4,2,2,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
456,Steven Adams,MEM,42,28,14,27.0,8.6,0.8,57.7,0.1,33.3,0.0,0.0,6.0,59.6,0.8,68.8,1.4,57.8,59.7
457,Svi Mykhailiuk,CHA,21,11,10,6.7,2.8,0.2,28.6,1.3,47.4,0.7,41.7,0.1,100.0,0.0,0.0,0.0,0.0,60.2
458,T.J. McConnell,IND,64,28,36,19.7,7.8,5.1,52.1,0.7,37.5,1.9,51.4,0.2,62.5,0.0,0.0,0.1,33.3,55.2
459,T.J. Warren,PHX,34,20,14,15.9,7.5,1.6,39.0,1.8,42.3,2.3,45.3,1.1,63.0,0.1,40.0,0.4,63.6,53.5
460,Taj Gibson,WAS,43,20,23,9.6,3.3,0.1,66.7,0.6,31.3,0.2,62.5,1.8,65.4,0.2,30.8,0.7,50.0,54.7
461,Talen Horton-Tucker,UTA,55,27,28,18.5,9.0,5.3,52.8,1.3,26.7,2.0,35.2,0.2,33.3,0.0,0.0,0.1,75.0,47.0
462,Tari Eason,HOU,68,16,52,20.6,9.1,1.8,36.7,2.2,36.6,0.2,18.5,2.7,59.0,0.1,50.0,0.4,42.9,50.4
463,Taurean Prince,MIN,43,25,18,21.4,8.7,2.1,52.6,3.5,41.1,1.2,41.1,0.6,80.0,0.0,0.0,0.1,40.0,57.4
464,Terance Mann,LAC,68,36,32,23.4,9.0,2.5,52.0,2.0,37.8,1.6,45.4,1.5,71.9,0.1,100.0,0.3,66.7,59.8
465,Terence Davis,SAC,52,31,21,13.2,6.7,0.9,45.5,2.8,36.3,1.4,38.6,0.5,76.5,0.0,0.0,0.0,100.0,55.6
466,Terrence Ross,PHX,50,19,31,21.9,8.2,1.6,51.4,4.0,39.5,2.8,44.4,0.0,100.0,0.0,0.0,0.1,40.0,54.1
467,Terry Rozier,CHA,60,18,42,35.7,21.5,7.1,44.6,4.0,35.8,7.5,37.0,0.5,40.0,0.0,0.0,0.3,37.5,48.6
468,Terry Taylor,CHI,28,10,18,8.3,2.6,0.8,52.6,0.4,23.5,0.1,20.0,0.9,70.6,0.0,0.0,0.1,50.0,50.7
469,Thaddeus Young,TOR,54,23,31,14.7,4.4,0.5,60.0,0.4,18.9,0.1,33.3,2.5,71.1,0.5,53.8,0.3,36.0,56.1
