trad_player,player_points_percentage,player_rebounds_percentage,player_assists_percentage,player_turnovers_percentage,player_steals_percentage,player_free_throws_attempted_percentage,player_field_goal_attepted_percentage,player_points_percentage_per_min,player_rebounds_percentage_per_min,player_assists_percentage_per_min,player_turnovers_percentage_per_min,player_steals_percentage_per_min,player_points_percentage_percentile,player_rebounds_percentage_percentile,player_assists_percentage_percentile,player_turnovers_percentage_percentile,player_steals_percentage_percentile,player_free_throws_attempted_percentage_percentile,player_field_goal_attepted_percentage_percentile,player_points_percentage_per_min_percentile,player_rebounds_percentage_per_min_percentile,player_assists_percentage_per_min_percentile,player_turnovers_percentage_per_min_percentile,player_steals_percentage_per_min_percentile
Jarrett Allen,0.13,0.24,0.07,0.11,0.1,0.14,0.11,0.38,0.72,0.22,0.33,0.32,0.82,0.99,0.62,0.76,0.68,0.85,0.76,0.65,0.9,0.31,0.41,0.36
De'Andre Hunter,0.13,0.1,0.06,0.1,0.07,0.14,0.13,0.42,0.3,0.18,0.31,0.23,0.82,0.72,0.56,0.73,0.46,0.85,0.82,0.73,0.33,0.2,0.35,0.2
Kevin Huerter,0.13,0.08,0.11,0.1,0.15,0.07,0.13,0.42,0.27,0.35,0.32,0.49,0.82,0.59,0.76,0.73,0.9,0.6,0.82,0.73,0.25,0.59,0.38,0.74
Rudy Gobert,0.12,0.28,0.05,0.12,0.1,0.21,0.09,0.38,0.9,0.15,0.37,0.33,0.8,1.0,0.47,0.79,0.68,0.92,0.68,0.65,0.98,0.14,0.48,0.38
Collin Sexton,0.12,0.05,0.11,0.12,0.09,0.18,0.11,0.5,0.2,0.45,0.53,0.36,0.8,0.33,0.76,0.79,0.61,0.9,0.76,0.86,0.09,0.7,0.77,0.46
Jalen Williams,0.12,0.11,0.13,0.14,0.16,0.11,0.11,0.38,0.34,0.43,0.47,0.51,0.8,0.77,0.81,0.84,0.92,0.78,0.76,0.65,0.46,0.69,0.69,0.77
Jusuf Nurkic,0.12,0.21,0.12,0.16,0.11,0.15,0.11,0.42,0.79,0.47,0.69,0.43,0.8,0.96,0.79,0.88,0.73,0.87,0.76,0.73,0.94,0.72,0.93,0.62
Trey Murphy III,0.12,0.08,0.06,0.06,0.15,0.09,0.12,0.39,0.27,0.19,0.2,0.48,0.8,0.59,0.56,0.47,0.9,0.7,0.79,0.67,0.25,0.23,0.15,0.73
Cole Anthony,0.12,0.11,0.17,0.11,0.09,0.12,0.12,0.44,0.42,0.65,0.44,0.37,0.8,0.77,0.87,0.76,0.61,0.81,0.79,0.77,0.61,0.88,0.62,0.48
Kenyon Martin Jr.,0.12,0.12,0.07,0.08,0.06,0.11,0.1,0.4,0.44,0.24,0.27,0.2,0.8,0.82,0.62,0.62,0.39,0.78,0.73,0.69,0.65,0.37,0.27,0.15
