,PLAYER,TEAM,AGE,GP,G,FREQ,FGM,FGA,FG%,EFG%,2FG FREQ,2FGM,2FGA,2FG%,3FG FREQ,3PM,3PA,3P%
65,Immanuel Quickley,NYK,23,62,61,41.5,1.6,4.2,37.6,46.2,19.7,0.9,2.0,43.1,21.8,0.7,2.2,32.7
66,Marcus Morris Sr.,LAC,33,56,54,40.4,1.9,4.2,44.3,47.7,32.8,1.6,3.4,46.0,7.6,0.3,0.8,36.7
67,Tre Jones,SAS,23,51,50,36.0,1.4,4.1,35.1,35.6,31.5,1.4,3.6,38.9,4.5,0.0,0.5,7.8
68,Malik Beasley,LAL,26,61,61,32.9,1.6,4.0,39.3,50.8,12.6,0.7,1.5,43.4,20.4,0.9,2.5,37.1
69,Mike Conley,MIN,35,49,49,46.2,1.2,4.0,31.1,42.1,13.0,0.4,1.1,33.0,33.3,0.9,2.9,30.6
70,Russell Westbrook,LAC,34,55,53,28.7,1.3,4.0,31.7,36.7,17.4,0.8,2.4,35.4,11.3,0.4,1.6,25.6
71,Buddy Hield,IND,30,63,59,29.3,1.7,3.9,42.9,56.7,10.8,0.6,1.4,41.7,18.5,1.1,2.5,43.5
72,Tre Mann,OKC,22,55,54,49.4,1.4,3.9,36.2,45.8,17.6,0.7,1.4,47.1,31.8,0.8,2.5,30.1
73,Kelly Oubre Jr.,CHA,27,38,36,22.5,1.5,3.8,38.4,44.9,13.3,1.0,2.3,42.9,9.2,0.5,1.6,31.6
74,De'Andre Hunter,ATL,25,52,49,31.4,1.9,3.8,50.5,53.3,27.1,1.7,3.3,52.0,4.3,0.2,0.5,40.4
75,Malcolm Brogdon,BOS,30,53,52,35.2,1.7,3.7,46.0,58.1,17.1,0.8,1.8,44.8,18.1,0.9,1.9,47.4
76,Victor Oladipo,MIA,30,29,28,38.5,1.3,3.7,36.4,43.0,20.5,0.9,2.0,43.7,18.0,0.5,1.7,27.9
77,Tyus Jones,MEM,26,60,56,43.3,1.6,3.7,43.2,48.4,30.9,1.2,2.6,45.8,12.4,0.4,1.1,36.2
78,Seth Curry,BKN,32,43,39,45.2,1.8,3.6,50.6,58.0,30.7,1.3,2.5,52.6,14.5,0.5,1.2,45.7
79,Monte Morris,WAS,27,51,50,43.8,1.7,3.6,47.3,53.8,29.5,1.2,2.4,51.0,14.3,0.5,1.2,39.8
80,Kevin Huerter,SAC,24,58,56,31.7,1.5,3.6,42.8,55.5,12.8,0.6,1.4,42.8,18.9,0.9,2.1,42.5
81,Michael Porter Jr.,DEN,24,46,44,27.4,1.3,3.6,36.6,45.1,13.2,0.7,1.7,40.7,14.2,0.6,1.9,33.0
82,Jimmy Butler,MIA,33,47,46,25.3,1.3,3.5,36.1,37.7,21.3,1.2,3.0,39.3,4.0,0.1,0.6,20.0
83,Josh Richardson,NOP,29,46,44,37.1,1.6,3.5,44.4,47.8,29.7,1.3,2.8,47.0,7.3,0.2,0.7,34.3
84,Duane Washington Jr.,NYK,22,31,25,41.8,1.4,3.5,39.3,48.6,23.8,0.7,2.0,36.0,18.0,0.7,1.5,43.9
85,Kemba Walker,DAL,32,9,7,54.4,1.4,3.4,41.9,53.2,17.5,0.7,1.1,60.4,36.8,0.8,2.3,33.5
86,Kyle Lowry,MIA,36,44,42,35.1,1.3,3.4,37.3,48.0,12.2,0.6,1.2,46.6,23.0,0.7,2.2,32.7
87,Tim Hardaway Jr.,DAL,30,57,56,28.0,1.3,3.4,36.6,45.4,13.9,0.7,1.7,38.7,14.2,0.6,1.7,34.9
88,Caris LeVert,CLE,28,58,53,33.6,1.1,3.4,32.0,39.8,18.1,0.6,1.8,30.1,15.5,0.5,1.6,33.8
89,Kristaps Porzingis,WAS,27,51,51,22.4,1.4,3.4,41.0,43.4,18.9,1.2,2.9,43.4,3.5,0.2,0.5,30.2
90,Bam Adebayo,MIA,25,57,56,21.5,1.5,3.4,43.2,43.2,21.1,1.5,3.3,44.2,0.4,0.0,0.1,0.0
91,Gabe Vincent,MIA,26,48,45,38.6,1.3,3.3,39.4,48.1,16.7,0.7,1.4,50.7,22.0,0.6,1.9,30.5
92,Reggie Jackson,DEN,32,56,51,34.1,1.2,3.3,35.5,39.2,21.6,0.9,2.1,44.1,12.5,0.3,1.2,20.7
93,Markelle Fultz,ORL,24,41,41,30.3,1.4,3.3,42.2,43.7,27.6,1.3,3.0,43.0,2.7,0.1,0.3,34.5
94,Cole Anthony,ORL,22,42,39,34.9,1.4,3.3,41.3,46.4,25.3,1.0,2.4,42.9,9.6,0.3,0.9,36.7
95,Norman Powell,LAC,29,53,50,27.5,1.3,3.2,39.8,48.2,14.5,0.7,1.7,43.5,13.0,0.6,1.5,35.9
96,Franz Wagner,ORL,21,61,59,22.9,1.1,3.2,32.5,40.4,9.8,0.5,1.4,39.1,13.1,0.5,1.9,27.6
