,PLAYER,TEAM,AGE,GP,G,FREQ,FGM,FGA,FG%,EFG%,2FG FREQ,2FGM,2FGA,2FG%,3FG FREQ,3PM,3PA,3P%
315,Trae Young,ATL,24,64,45,7.3,0.5,1.4,36.3,54.4,0.3,0.0,0.1,0.0,6.9,0.5,1.4,38.2
316,Ty Jerome,GSW,25,44,29,25.2,0.6,1.4,39.3,59.0,0.0,0.0,0.0,-,25.2,0.6,1.4,39.6
317,Kyle Anderson,MIN,29,60,41,19.8,0.6,1.4,43.9,61.0,3.1,0.1,0.2,59.1,16.6,0.5,1.1,40.9
318,Derrick Rose,NYK,34,27,23,23.3,0.3,1.4,21.6,32.4,0.6,0.0,0.0,0.0,22.6,0.3,1.3,22.6
319,Bryn Forbes,MIN,29,25,19,41.0,0.4,1.4,29.4,44.1,2.4,0.0,0.1,0.0,38.6,0.4,1.3,31.3
320,Giannis Antetokounmpo,MIL,28,56,41,6.6,0.4,1.3,29.3,43.3,0.9,0.0,0.2,11.1,5.7,0.4,1.2,32.8
321,Jalen Johnson,ATL,21,64,48,31.5,0.4,1.3,27.9,41.9,2.2,0.0,0.1,0.0,29.3,0.4,1.3,30.4
322,Darius Bazley,PHX,22,39,28,31.3,0.5,1.3,40.4,57.7,2.4,0.1,0.1,80.0,28.9,0.5,1.2,37.4
323,Blake Wesley,SAS,20,25,19,23.9,0.6,1.3,42.4,63.6,0.0,0.0,0.0,-,23.9,0.6,1.3,42.4
324,Kessler Edwards,SAC,22,25,16,57.9,0.4,1.3,30.3,45.5,1.8,0.0,0.0,0.0,56.1,0.4,1.3,31.3
325,Romeo Langford,SAS,23,35,27,21.2,0.4,1.3,32.6,47.8,0.5,0.0,0.0,100,20.7,0.4,1.3,31.0
326,Dru Smith,BKN,25,10,7,33.3,0.5,1.3,38.5,57.7,0.0,0.0,0.0,-,33.3,0.5,1.3,38.5
327,Dalano Banton,TOR,23,27,15,31.0,0.4,1.3,31.4,47.1,0.9,0.0,0.0,0.0,30.1,0.4,1.3,32.5
328,Jae'Sean Tate,HOU,27,31,25,17.5,0.3,1.3,27.5,41.3,0.0,0.0,0.0,-,17.5,0.3,1.3,27.1
329,Jordan McLaughlin,MIN,26,36,28,35.7,0.3,1.3,26.1,39.1,0.0,0.0,0.0,-,35.7,0.3,1.3,25.8
330,Stanley Johnson,SAS,26,29,19,29.8,0.6,1.2,47.2,68.1,2.5,0.1,0.1,70.0,27.3,0.5,1.1,45.6
331,Kira Lewis Jr.,NOP,21,21,15,31.3,0.5,1.2,42.3,63.5,1.2,0.0,0.1,0.0,30.1,0.5,1.2,43.7
332,Dyson Daniels,NOP,20,49,31,34.3,0.4,1.2,31.1,46.7,0.6,0.0,0.0,0.0,33.7,0.4,1.2,32.0
333,Jarred Vanderbilt,LAL,23,68,51,20.9,0.3,1.2,28.6,41.7,2.2,0.0,0.1,23.1,18.7,0.3,1.1,29.1
334,Frank Ntilikina,DAL,24,43,24,50.0,0.3,1.2,28.8,40.4,4.8,0.1,0.1,58.3,45.2,0.3,1.1,25.7
335,Joe Wieskamp,TOR,23,5,3,75.0,0.6,1.2,50.0,75.0,0.0,0.0,0.0,-,75.0,0.6,1.2,50.0
336,Jarrett Culver,ATL,24,10,6,27.9,0.1,1.2,8.3,12.5,4.7,0.0,0.2,0.0,23.3,0.1,1.0,10.0
337,Dewayne Dedmon,PHI,33,33,21,29.3,0.4,1.2,30.8,43.6,3.0,0.1,0.1,50.0,26.3,0.3,1.1,28.3
338,Danuel House Jr.,PHI,29,47,34,38.2,0.4,1.2,32.7,49.1,0.0,0.0,0.0,-,38.2,0.4,1.2,32.5
339,Udonis Haslem,MIA,42,6,4,58.3,0.2,1.2,14.3,14.3,41.7,0.2,0.8,20.5,16.7,0.0,0.3,0.0
340,Markelle Fultz,ORL,24,51,36,10.2,0.4,1.2,32.2,46.6,0.7,0.0,0.1,50.0,9.5,0.3,1.1,30.6
