,Player,Team,Age,Restricted Area_FGM,Restricted Area_FGA,Restricted Area_FG%,In The Paint (Non-RA)_FGM,In The Paint (Non-RA)_FGA,In The Paint (Non-RA)_FG%,Mid-Range_FGM,Mid-Range_FGA,Mid-Range_FG%,Left Corner 3._FGM,Left Corner 3._FGA,Left Corner 3._FG%,Right Corner 3._FGM,Right Corner 3._FGA,Right Corner 3._FG%,Corner 3_FGM,Corner 3_FGA,Corner 3_FG%,Above the Break 3._FGM,Above the Break 3._FGA,Above the Break 3._FG%
133,Dorian Finney-Smith,BKN,29,1.1,1.9,61.5,0.1,0.4,18.2,0.0,0.1,28.6,0.4,1.0,40.0,0.4,1.2,33.3,0.8,2.2,36.4,1.0,3.0,31.8
134,Doug McDermott,SAS,31,1.1,1.7,64.1,0.5,1.1,43.8,0.2,0.7,30.8,0.3,0.7,45.9,0.1,0.3,33.3,0.4,0.9,41.8,1.5,3.6,42.9
135,Draymond Green,GSW,33,1.7,2.5,68.4,0.9,1.8,48.6,0.1,0.3,50.0,0.1,0.3,25.0,0.1,0.3,50.0,0.2,0.5,38.2,0.4,1.2,30.7
136,Drew Eubanks,POR,26,1.7,2.2,79.3,0.6,1.1,48.7,0.2,0.2,68.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,60.0
137,Dru Smith,BKN,25,0.7,0.9,75.0,0.6,1.0,60.0,0.1,0.3,33.3,0.2,0.7,33.3,0.1,0.1,100,0.3,0.7,42.9,0.2,1.1,18.2
138,Duane Washington Jr.,NYK,22,0.6,1.4,45.2,0.6,1.8,32.1,0.6,1.7,36.0,0.2,0.6,36.4,0.1,0.5,30.0,0.3,0.8,33.3,1.1,2.8,37.5
139,Duncan Robinson,MIA,28,0.3,0.4,78.6,0.2,0.5,43.8,0.1,0.3,22.2,0.1,0.6,23.5,0.2,0.5,33.3,0.3,1.0,28.1,1.3,3.7,34.9
140,Dwight Powell,DAL,31,2.5,3.3,76.2,0.1,0.2,50.0,0.0,0.1,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,Dylan Windler,CLE,26,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,0.0,1.0,0.0
142,Dyson Daniels,NOP,20,0.8,1.3,66.1,0.2,0.8,28.9,0.0,0.1,33.3,0.1,0.2,33.3,0.1,0.3,35.7,0.2,0.5,34.8,0.3,1.0,30.4
143,Edmond Sumner,BKN,27,1.4,2.3,59.6,0.3,0.9,26.7,0.2,0.3,56.3,0.2,0.7,33.3,0.1,0.4,35.3,0.3,1.0,34.1,0.3,0.8,37.5
144,Eric Gordon,LAC,34,1.5,2.3,63.0,1.0,2.1,45.9,0.0,0.2,18.2,0.1,0.2,46.2,0.1,0.2,60.0,0.2,0.4,52.2,1.6,4.7,34.4
145,Eugene Omoruyi,DET,26,1.9,2.8,67.0,0.1,0.5,13.3,0.0,0.1,33.3,0.1,0.3,44.4,0.2,0.6,27.8,0.3,0.9,33.3,0.1,0.8,16.7
146,Evan Fournier,NYK,30,0.3,0.6,42.9,0.4,1.0,45.5,0.2,0.6,30.8,0.3,0.8,38.9,0.1,0.4,33.3,0.4,1.2,37.0,1.0,3.2,31.1
147,Evan Mobley,CLE,21,4.2,5.4,77.4,1.6,4.0,39.9,0.5,1.2,41.5,0.0,0.2,12.5,0.1,0.3,18.2,0.1,0.5,15.8,0.2,0.8,24.6
148,Facundo Campazzo,DAL,31,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,100,0.0,0.3,0.0,0.2,0.4,50.0,0.3,1.3,22.2
149,Frank Jackson,UTA,24,0.0,0.0,0.0,0.0,2.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,0.0,1.0,0.0
150,Frank Kaminsky,HOU,29,0.3,0.4,72.7,0.1,0.3,40.0,0.1,0.1,75.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.4,0.9,42.9
151,Frank Ntilikina,DAL,24,0.2,0.5,47.6,0.1,0.3,33.3,0.2,0.4,60.0,0.0,0.4,7.7,0.1,0.2,25.0,0.1,0.6,14.3,0.2,0.7,26.7
152,Franz Wagner,ORL,21,3.3,5.1,65.9,1.4,3.4,40.1,0.4,1.0,43.9,0.2,0.4,58.6,0.1,0.4,36.0,0.4,0.8,48.1,1.3,3.7,35.3
153,Fred VanVleet,TOR,29,1.4,2.6,55.0,0.8,2.2,36.4,1.1,2.5,43.8,0.2,0.5,51.9,0.2,0.6,35.1,0.5,1.1,42.2,2.6,7.6,33.9
154,Furkan Korkmaz,PHI,25,0.6,0.9,69.6,0.1,0.5,14.3,0.2,0.4,44.4,0.2,0.4,42.9,0.1,0.3,25.0,0.2,0.6,36.4,0.3,0.9,36.0
155,Gabe Vincent,MIA,26,0.5,1.0,54.5,0.6,1.2,49.3,0.5,1.0,50.0,0.2,0.9,25.5,0.4,0.7,47.6,0.6,1.6,35.5,1.1,3.6,31.6
156,Garrett Temple,NOP,36,0.3,0.7,46.2,0.0,0.1,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.1,0.4,40.0,0.1,0.3,33.3,0.4,0.8,43.8
157,Garrison Mathews,ATL,26,0.1,0.2,55.6,0.0,0.1,25.0,0.0,0.0,50.0,0.2,0.5,32.0,0.2,0.4,50.0,0.3,0.8,38.5,0.8,2.5,33.1
158,Gary Harris,ORL,28,0.8,1.2,62.5,0.2,0.5,33.3,0.1,0.3,33.3,0.4,1.0,44.7,0.5,1.0,47.4,0.9,1.9,46.1,1.0,2.5,39.8
159,Gary Payton II,GSW,30,1.0,1.5,68.2,0.0,0.1,0.0,0.0,0.0,0.0,0.3,0.4,83.3,0.1,0.4,33.3,0.5,0.8,58.3,0.1,0.3,40.0
160,Gary Trent Jr.,TOR,24,1.4,2.1,64.8,1.1,2.3,49.3,1.2,3.0,39.3,0.2,0.8,29.8,0.2,0.6,34.3,0.4,1.3,31.7,2.1,5.6,37.9
161,George Hill,IND,36,0.7,0.9,73.0,0.1,0.4,35.7,0.3,0.4,58.8,0.1,0.3,36.4,0.3,0.6,45.0,0.4,0.8,41.9,0.4,1.2,31.3
162,Georges Niang,PHI,29,0.6,0.9,66.1,0.2,0.5,48.5,0.0,0.1,37.5,0.3,0.5,50.0,0.3,0.4,63.0,0.5,1.0,55.7,1.6,4.1,38.1
163,Giannis Antetokounmpo,MIL,28,8.5,11.6,73.4,0.8,3.1,25.3,1.1,3.1,34.9,0.0,0.1,20.0,0.0,0.0,0.0,0.0,0.1,20.0,0.8,2.7,28.7
164,Goga Bitadze,ORL,23,1.2,1.6,72.7,0.1,0.3,33.3,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.7,29.4
165,Goran Dragic,MIL,36,0.8,1.3,58.2,0.4,1.1,37.5,0.5,1.0,46.9,0.2,0.4,45.5,0.0,0.1,50.0,0.2,0.5,46.2,0.6,2.0,31.7
166,Gordon Hayward,CHA,32,1.5,2.1,71.0,1.5,3.2,46.9,1.4,3.0,45.9,0.2,0.5,38.1,0.1,0.3,42.9,0.3,0.8,40.0,0.8,2.5,30.1
167,Gorgui Dieng,SAS,33,0.5,0.7,71.4,0.1,0.2,60.0,0.1,0.2,40.0,0.1,0.1,100,0.1,0.2,33.3,0.1,0.2,50.0,0.4,1.9,22.7
168,Grant Williams,BOS,24,0.7,1.1,64.4,0.5,1.0,47.1,0.1,0.3,30.0,0.3,0.8,42.3,0.3,0.7,47.9,0.7,1.5,45.0,0.8,2.1,37.1
169,Grayson Allen,MIL,27,1.1,1.8,62.6,0.2,0.6,36.6,0.1,0.3,23.8,0.4,0.8,43.1,0.2,0.3,52.4,0.5,1.1,45.8,1.6,4.0,39.1
170,Greg Brown III,POR,21,0.7,1.1,62.5,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.3,0.0,0.2,0.2,100,0.1,0.3,33.3,0.0,0.3,0.0
171,Hamidou Diallo,DET,24,2.6,3.6,72.1,0.8,1.8,43.0,0.4,1.0,41.5,0.0,0.2,22.2,0.0,0.1,66.7,0.1,0.2,33.3,0.0,0.1,12.5
172,Harrison Barnes,SAC,30,2.1,3.0,68.8,0.7,1.8,36.3,0.2,0.4,48.3,0.3,0.8,38.2,0.3,0.8,40.4,0.6,1.6,39.3,1.0,2.8,35.8
173,Haywood Highsmith,MIA,26,0.7,1.1,66.0,0.2,0.6,40.0,0.1,0.4,29.4,0.2,0.5,42.9,0.2,0.7,28.6,0.4,1.1,34.7,0.4,1.2,35.8
174,Herbert Jones,NOP,24,2.3,3.6,64.6,0.3,1.2,29.5,0.1,0.4,19.0,0.2,0.8,28.6,0.2,0.6,34.5,0.4,1.3,31.0,0.4,1.3,28.4
175,Immanuel Quickley,NYK,23,1.1,1.7,64.1,1.3,2.7,50.0,0.5,1.1,41.3,0.2,0.7,31.3,0.3,0.8,39.6,0.5,1.4,35.6,1.4,3.8,36.6
176,Isaac Okoro,CLE,22,1.3,1.9,66.7,0.2,0.5,45.7,0.0,0.0,33.3,0.2,0.7,33.3,0.5,1.4,38.5,0.7,2.0,36.8,0.1,0.3,30.0
177,Isaiah Hartenstein,NYK,24,1.4,2.3,59.0,0.5,1.1,50.0,0.0,0.1,33.3,0.1,0.2,38.5,0.0,0.2,27.3,0.1,0.3,33.3,0.0,0.2,0.0
178,Isaiah Jackson,IND,21,2.2,3.3,67.1,0.3,0.9,29.8,0.1,0.2,54.5,0.0,0.0,0.0,0.0,0.0,100,0.0,0.1,33.3,0.0,0.2,11.1
179,Isaiah Joe,OKC,23,0.3,0.5,70.4,0.1,0.2,35.7,0.3,0.7,46.3,0.3,0.6,51.6,0.2,0.3,50.0,0.4,0.8,51.0,1.8,4.4,42.2
180,Isaiah Livers,DET,24,0.4,0.5,76.0,0.2,0.3,43.8,0.3,0.6,41.4,0.2,0.5,33.3,0.4,1.0,45.0,0.6,1.4,41.0,0.8,2.5,33.0
181,Isaiah Mobley,CLE,23,0.3,0.3,100.0,0.3,0.6,50.0,0.0,0.1,0.0,-,-,-,0.3,0.3,100,0.3,0.3,100,0.0,0.2,0.0
182,Isaiah Roby,SAS,25,0.8,1.2,64.7,0.3,0.8,40.6,0.1,0.3,25.0,0.1,0.1,66.7,0.1,0.4,30.0,0.2,0.4,38.5,0.3,1.1,27.7
183,Isaiah Stewart,DET,21,1.9,3.3,56.7,0.6,1.3,46.0,0.1,0.2,66.7,0.2,0.6,34.4,0.2,0.8,32.4,0.5,1.4,33.3,0.9,2.7,32.4
184,Isaiah Todd,WAS,21,0.0,0.0,0.0,0.3,0.3,100,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.3,0.0
185,Ish Smith,DEN,34,0.4,0.6,57.1,0.3,0.6,42.1,0.7,1.6,41.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,25.0
186,Ish Wainright,PHX,28,0.4,0.7,56.8,0.1,0.2,30.0,0.0,0.0,0.0,0.3,0.7,35.3,0.3,1.0,35.0,0.5,1.5,35.1,0.5,1.4,34.7
187,Ivica Zubac,LAC,25,3.1,4.6,68.2,0.9,1.8,50.0,0.1,0.1,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,JD Davison,BOS,20,0.1,0.3,50.0,0.3,1.0,25.0,0.2,0.3,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
189,JT Thor,CHA,20,0.4,0.6,58.3,0.2,0.5,39.3,0.1,0.3,43.8,0.2,0.6,32.1,0.1,0.3,40.0,0.3,0.8,34.9,0.1,0.6,15.2
