,Player,Team,Age,Less than 5ft._FGM,Less than 5ft._FGA,Less than 5ft._FG%,5-9 ft._FGM,5-9 ft._FGA,5-9 ft._FG%,10-14 ft._FGM,10-14 ft._FGA,10-14 ft._FG%,15-19 ft._FGM,15-19 ft._FGA,15-19 ft._FG%,20-24 ft._FGM,20-24 ft._FGA,20-24 ft._FG%,25-29 ft._FGM,25-29 ft._FGA,25-29 ft._FG%
170,Greg Brown III,POR,21,2.0,3.3,61.2,0.6,1.5,41.2,0.5,0.6,71.4,0.5,1.1,42.9,0.7,2.3,29.6,0.5,2.3,22.9
171,Hamidou Diallo,DET,24,7.3,11.6,63.1,1.6,3.6,46.0,0.7,1.9,37.4,0.6,1.8,31.3,1.9,5.1,37.9,2.7,7.5,36.2
172,Harrison Barnes,SAC,30,13.9,20.8,66.7,3.6,7.4,49.1,2.3,5.1,44.9,1.7,3.9,43.4,3.7,9.6,38.6,4.9,13.5,36.1
173,Haywood Highsmith,MIA,26,5.7,9.1,62.1,1.7,3.5,47.3,1.4,3.5,40.6,0.7,1.6,45.2,2.1,5.1,41.8,3.4,9.6,35.4
174,Herbert Jones,NOP,24,10.8,16.1,67.4,2.7,6.3,43.6,1.5,3.8,38.6,1.5,3.2,44.8,2.9,8.0,36.5,4.8,13.7,34.8
175,Immanuel Quickley,NYK,23,9.9,16.9,58.7,2.2,5.4,41.9,1.9,4.1,45.5,1.4,3.5,39.9,3.2,9.4,34.0,4.1,12.3,33.5
176,Isaac Okoro,CLE,22,8.0,13.0,61.4,2.3,4.9,46.5,1.4,3.6,39.6,1.1,2.3,49.1,2.2,5.3,41.3,3.1,8.6,36.5
177,Isaiah Hartenstein,NYK,24,6.6,11.4,57.6,1.4,3.5,39.6,1.5,3.1,47.6,1.0,2.5,41.5,2.3,6.3,36.6,3.2,8.8,36.1
178,Isaiah Jackson,IND,21,7.3,11.6,63.2,1.5,3.1,47.8,1.0,2.2,45.7,0.6,1.4,40.7,1.7,4.7,36.2,2.5,7.1,35.7
179,Isaiah Joe,OKC,23,6.8,10.6,64.3,1.9,4.0,46.1,1.3,2.6,51.6,0.9,2.0,43.4,1.9,5.4,35.8,3.5,9.0,38.7
180,Isaiah Livers,DET,24,9.3,14.5,64.1,2.5,5.7,44.6,1.1,2.5,41.5,0.9,2.3,38.3,2.4,6.3,37.3,3.6,9.9,37.0
181,Isaiah Mobley,CLE,23,1.1,1.7,66.7,0.0,0.7,0.0,0.0,0.4,0.0,0.1,0.4,33.3,0.1,0.9,16.7,0.6,2.3,23.8
