,PLAYER,TEAM,AGE,GP,G,FREQ,FGM,FGA,FG%,EFG%,2FG FREQ,2FGM,2FGA,2FG%,3FG FREQ,3PM,3PA,3P%
408,Max Christie,LAL,20,38,31,100,1.2,2.8,41.9,54.3,41.0,0.5,1.1,41.6,59.0,0.7,1.6,41.7
409,Jake LaRavia,MEM,21,33,26,100,1.1,2.8,38.5,50.5,26.4,0.4,0.7,53.4,73.6,0.7,2.0,33.0
410,JT Thor,CHA,20,60,52,100,1.1,2.8,38.8,45.2,50.9,0.7,1.4,51.4,49.1,0.3,1.4,25.9
411,Olivier Sarr,OKC,24,4,3,100,1.0,2.8,36.4,36.4,63.6,1.0,1.8,57.1,36.4,0.0,1.0,0.0
412,Gary Payton II,GSW,30,15,14,100,1.6,2.7,58.5,69.5,58.5,1.0,1.6,62.5,41.5,0.6,1.1,53.1
413,Paul Reed,PHI,23,59,47,100,1.6,2.7,57.8,57.8,97.5,1.6,2.7,59.4,2.5,0.0,0.1,0.0
414,Goga Bitadze,ORL,23,29,24,100,1.4,2.7,51.9,55.1,75.9,1.2,2.1,59.9,24.1,0.2,0.7,25.8
415,Juancho Hernangomez,TOR,27,42,34,100,1.1,2.7,42.1,49.6,41.2,0.7,1.1,66.1,58.8,0.4,1.6,25.0
416,Kevon Harris,ORL,25,31,26,100,1.1,2.7,41.0,47.6,63.9,0.7,1.7,43.3,36.1,0.3,1.0,36.1
417,Trent Forrest,ATL,24,19,15,100,1.3,2.6,48.0,48.0,96.0,1.3,2.5,49.8,4.0,0.0,0.1,0.0
418,Christian Koloko,TOR,22,50,44,100,1.2,2.6,47.3,47.7,92.2,1.2,2.4,50.4,7.8,0.0,0.2,10.0
419,Danny Green,CLE,35,9,8,100,1.0,2.6,39.1,56.5,21.7,0.1,0.6,19.6,78.3,0.9,2.0,44.5
420,Kenneth Lofton Jr.,MEM,20,17,15,100,1.2,2.5,48.8,53.5,74.4,1.0,1.9,53.2,25.6,0.2,0.7,36.9
