,Player,Team,Age,Less than 5ft._FGM,Less than 5ft._FGA,Less than 5ft._FG%,5-9 ft._FGM,5-9 ft._FGA,5-9 ft._FG%,10-14 ft._FGM,10-14 ft._FGA,10-14 ft._FG%,15-19 ft._FGM,15-19 ft._FGA,15-19 ft._FG%,20-24 ft._FGM,20-24 ft._FGA,20-24 ft._FG%,25-29 ft._FGM,25-29 ft._FGA,25-29 ft._FG%
405,Omer Yurtseven,MIA,24,0.6,0.9,71.4,0.5,0.9,57.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,50.0,0.1,0.3,50.0
406,Onyeka Okongwu,ATL,22,3.3,4.6,70.3,0.3,0.7,44.2,0.1,0.2,50.0,0.3,0.6,47.7,0.0,0.1,33.3,0.0,0.0,0.0
407,Orlando Robinson,MIA,22,1.3,1.9,65.5,0.3,0.7,42.9,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0
408,Oshae Brissett,IND,24,1.0,2.0,50.4,0.1,0.2,28.6,0.0,0.1,60.0,0.0,0.1,0.0,0.2,0.9,23.7,0.5,1.4,36.3
409,Otto Porter Jr.,TOR,29,0.8,0.8,100.0,0.1,0.1,100,0.0,0.1,0.0,0.3,0.4,66.7,0.3,1.0,25.0,0.5,1.4,36.4
410,Ousmane Dieng,OKC,19,0.9,1.3,68.8,0.3,0.5,52.6,0.0,0.1,20.0,0.0,0.1,0.0,0.4,1.2,31.8,0.3,1.2,22.2
411,P.J. Tucker,PHI,37,0.4,0.7,49.1,0.1,0.2,38.9,0.1,0.1,50.0,0.0,0.0,50.0,0.7,1.8,40.4,0.0,0.1,40.0
412,P.J. Washington,CHA,24,2.4,3.8,62.8,1.0,2.2,44.3,0.3,0.8,41.1,0.1,0.5,25.6,0.8,2.2,35.4,1.4,4.0,35.3
413,PJ Dozier,SAC,26,0.3,0.5,60.0,0.1,0.1,100,0.0,0.4,0.0,0.3,0.4,66.7,0.1,0.8,14.3,0.1,0.4,20.0
414,Paolo Banchero,ORL,20,3.3,5.7,59.2,0.6,2.1,30.9,0.6,1.5,38.3,0.7,2.0,36.1,0.4,1.2,36.5,0.9,3.1,29.8
415,Pascal Siakam,TOR,29,3.7,5.4,68.1,1.6,3.7,43.3,1.2,2.6,45.6,0.9,2.1,41.1,0.6,1.8,33.6,0.9,2.8,33.2
416,Pat Connaughton,MIL,30,0.8,1.3,57.3,0.1,0.2,50.0,0.0,0.0,50.0,0.0,0.0,50.0,0.7,2.1,34.4,1.1,3.2,34.7
417,Patrick Baldwin Jr.,GSW,20,0.3,0.4,66.7,0.0,0.1,33.3,0.0,0.2,0.0,0.1,0.2,25.0,0.3,0.8,31.8,0.9,2.1,40.4
418,Patrick Beverley,CHI,34,0.6,1.0,56.7,0.3,0.6,42.9,0.1,0.1,57.1,0.0,0.0,50.0,0.6,1.6,38.0,0.6,2.0,31.8
419,Patrick Williams,CHI,21,1.5,2.5,60.8,0.1,0.5,25.0,0.4,0.8,43.3,0.3,0.7,40.7,1.0,2.0,47.0,0.6,1.6,35.6
420,Patty Mills,BKN,34,0.3,0.5,68.4,0.1,0.2,50.0,0.1,0.2,22.2,0.3,0.7,44.0,0.6,1.5,40.0,0.8,2.0,38.5
421,Paul George,LAC,32,2.6,4.0,66.7,0.6,1.2,49.2,0.8,1.8,44.1,1.2,2.9,41.4,1.0,2.4,43.2,1.9,5.5,34.8
422,Paul Reed,PHI,23,1.5,2.3,67.3,0.1,0.3,36.4,0.1,0.2,33.3,0.1,0.1,50.0,0.0,0.0,0.0,0.0,0.0,0.0
423,Payton Pritchard,BOS,25,0.7,1.2,55.6,0.1,0.3,50.0,0.0,0.2,28.6,0.1,0.2,57.1,0.3,1.0,31.9,0.7,2.0,36.7
424,Peyton Watson,DEN,20,0.7,1.3,54.2,0.2,0.4,42.9,0.1,0.3,25.0,0.1,0.1,100,0.3,0.4,57.1,0.1,0.3,40.0
