,Player,Team,Age,Restricted Area_FGM,Restricted Area_FGA,Restricted Area_FG%,In The Paint (Non-RA)_FGM,In The Paint (Non-RA)_FGA,In The Paint (Non-RA)_FG%,Mid-Range_FGM,Mid-Range_FGA,Mid-Range_FG%,Left Corner 3._FGM,Left Corner 3._FGA,Left Corner 3._FG%,Right Corner 3._FGM,Right Corner 3._FGA,Right Corner 3._FG%,Corner 3_FGM,Corner 3_FGA,Corner 3_FG%,Above the Break 3._FGM,Above the Break 3._FGA,Above the Break 3._FG%
421,R.J. Hampton,DET,22,6.5,9.9,65.4,2.4,5.1,46.2,1.0,2.3,43.3,0.6,2.0,31.9,0.6,1.4,43.5,1.1,2.9,36.5,2.5,7.7,32.0
422,RJ Barrett,NYK,22,11.6,18.2,63.6,4.6,10.2,45.0,3.5,7.8,44.3,1.4,3.5,39.0,1.2,3.1,39.0,2.5,6.5,39.0,7.0,19.7,35.6
423,Raul Neto,CLE,30,3.8,5.8,65.0,1.3,3.2,40.0,0.8,2.4,32.1,0.7,1.3,48.8,0.5,1.3,37.5,1.0,2.3,43.4,1.6,4.6,34.6
424,Reggie Bullock,DAL,32,11.7,17.0,69.0,5.0,11.0,45.3,3.1,6.9,45.6,1.1,2.8,40.5,1.0,2.5,39.9,2.1,5.3,40.2,4.4,13.4,32.6
425,Reggie Jackson,DEN,32,8.0,12.6,63.7,4.6,9.9,46.4,2.3,5.2,44.2,0.8,2.2,34.6,0.8,2.2,35.7,1.5,4.2,35.1,4.9,13.1,37.4
426,Richaun Holmes,SAC,29,3.5,5.0,69.8,1.5,3.3,46.8,0.5,1.8,30.2,0.5,1.3,37.5,0.5,1.1,40.7,0.7,1.9,39.0,1.6,4.3,38.3
427,Ricky Rubio,CLE,32,5.9,9.7,61.1,2.5,5.8,43.7,1.7,4.2,40.5,0.5,1.4,39.5,0.6,1.4,43.6,1.1,2.7,41.6,2.4,6.7,35.8
428,Robert Covington,LAC,32,5.8,9.1,63.3,2.4,5.8,41.9,1.3,2.8,47.2,0.6,1.9,32.9,0.5,1.6,30.8,1.0,3.2,31.9,3.0,8.8,33.4
429,Robert Williams III,BOS,25,6.4,9.9,65.0,4.2,10.1,41.3,2.2,5.7,38.6,0.8,1.9,41.0,0.6,1.7,34.5,1.3,3.5,37.9,4.8,13.8,34.6
430,Robin Lopez,CLE,35,3.5,5.0,70.0,0.8,2.5,32.9,1.1,2.5,45.2,0.4,1.2,35.0,0.3,0.9,31.3,0.5,1.4,33.3,1.1,3.1,36.2
431,Rodney McGruder,DET,31,6.3,8.6,72.7,3.0,6.3,47.8,1.7,4.0,43.2,0.8,1.9,42.0,0.7,1.6,42.9,1.3,3.1,42.4,2.7,7.6,35.5
432,Romeo Langford,SAS,23,8.7,13.3,65.4,3.4,7.7,44.9,2.1,4.3,48.5,0.9,1.8,50.0,0.7,1.6,43.9,1.4,3.0,47.0,3.7,10.1,37.0
433,Ron Harper Jr.,TOR,22,0.8,1.8,42.9,0.0,1.0,0.0,0.2,0.4,50.0,0.3,0.8,33.3,0.7,0.7,100,0.6,1.0,60.0,0.8,1.8,44.4
434,Royce O'Neale,BKN,29,11.5,18.3,62.8,4.5,12.0,37.9,2.7,6.6,40.6,1.0,2.8,36.9,1.1,2.8,39.0,2.1,5.6,38.0,5.7,15.8,36.2
435,Rudy Gay,UTA,36,5.2,7.7,67.1,2.4,6.2,39.6,1.1,2.7,42.4,0.5,1.2,42.4,0.3,1.1,30.5,0.8,2.1,36.4,2.9,8.5,34.2
436,Rudy Gobert,MIN,30,10.2,16.1,63.7,5.3,11.6,45.5,2.9,7.3,40.5,0.5,2.0,27.3,1.1,3.1,36.2,1.6,5.0,32.6,6.3,17.1,36.6
437,Rui Hachimura,LAL,25,8.3,12.5,66.8,4.3,10.3,41.2,2.1,5.4,39.3,0.6,2.0,28.7,0.8,1.9,41.2,1.3,3.6,34.8,4.5,13.6,33.0
438,Russell Westbrook,LAC,34,11.0,16.4,67.1,5.1,11.5,44.2,3.3,7.1,47.1,0.9,2.7,34.6,0.9,2.1,43.8,1.8,4.7,38.6,5.7,16.6,34.2
