Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Arena,Notes
2023-01-09,7:30p,Chicago Bulls,,Boston Celtics,,,,,TD Garden,
2023-01-09,7:30p,Milwaukee Bucks,,New York Knicks,,,,,Madison Square Garden (IV),
2023-01-09,8:00p,San Antonio Spurs,,Memphis Grizzlies,,,,,FedEx Forum,
2023-01-09,9:00p,Los Angeles Lakers,,Denver Nuggets,,,,,Ball Arena,
2023-01-09,10:00p,Orlando Magic,,Sacramento Kings,,,,,Golden 1 Center,
2023-01-10,7:00p,Detroit Pistons,,Philadelphia 76ers,,,,,Wells Fargo Center,
2023-01-10,7:30p,Oklahoma City Thunder,,Miami Heat,,,,,FTX Arena,
2023-01-10,7:30p,Charlotte Hornets,,Toronto Raptors,,,,,Scotiabank Arena,
2023-01-10,9:00p,Cleveland Cavaliers,,Utah Jazz,,,,,Vivint Arena,
2023-01-10,10:00p,Phoenix Suns,,Golden State Warriors,,,,,Chase Center,
2023-01-10,10:00p,Orlando Magic,,Portland Trail Blazers,,,,,Moda Center,
2023-01-10,10:30p,Dallas Mavericks,,Los Angeles Clippers,,,,,Crypto.com Arena,
2023-01-11,7:00p,Minnesota Timberwolves,,Detroit Pistons,,,,,Little Caesars Arena,
2023-01-11,7:00p,Chicago Bulls,,Washington Wizards,,,,,Capital One Arena,
2023-01-11,7:30p,Milwaukee Bucks,,Atlanta Hawks,,,,,State Farm Arena,
2023-01-11,7:30p,New Orleans Pelicans,,Boston Celtics,,,,,TD Garden,
2023-01-11,7:30p,Indiana Pacers,,New York Knicks,,,,,Madison Square Garden (IV),
2023-01-11,8:00p,San Antonio Spurs,,Memphis Grizzlies,,,,,FedEx Forum,
2023-01-11,10:00p,Phoenix Suns,,Denver Nuggets,,,,,Ball Arena,
2023-01-11,10:00p,Houston Rockets,,Sacramento Kings,,,,,Golden 1 Center,
2023-01-12,7:00p,Oklahoma City Thunder,,Philadelphia 76ers,,,,,Wells Fargo Center,
2023-01-12,7:30p,Boston Celtics,,Brooklyn Nets,,,,,Barclays Center,
2023-01-12,7:30p,Milwaukee Bucks,,Miami Heat,,,,,FTX Arena,
2023-01-12,7:30p,Charlotte Hornets,,Toronto Raptors,,,,,Scotiabank Arena,
2023-01-12,10:00p,Dallas Mavericks,,Los Angeles Lakers,,,,,Crypto.com Arena,
2023-01-12,10:00p,Cleveland Cavaliers,,Portland Trail Blazers,,,,,Moda Center,
2023-01-13,7:00p,New Orleans Pelicans,,Detroit Pistons,,,,,Little Caesars Arena,
